Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
galloway,"('Galloway',)",Not a Polysemy,breed of hardy black chiefly beef cattle native to Scotland,galloway.n.02
wood,"('wood',)",Not a Polysemy,the hard fibrous lignified substance under the bark of trees,wood.n.01
hundred,"('hundred', 'one_hundred', '100', 'c')",Polysemy,being ten more than ninety,hundred.s.01
sustain,"('suffer', 'sustain', 'have', 'get')",Polysemy,undergo (as of injuries and illnesses),suffer.v.02
quiet,"('repose', 'quiet', 'placidity', 'serenity', 'tranquillity', 'tranquility')",Polysemy,a disposition free from stress or emotion,repose.n.03
floating,"('aimless', 'drifting', 'floating', 'vagabond', 'vagrant')",Polysemy,continually changing especially as from one abode or occupation to another,aimless.s.02
deadly,"('deadly',)",Not a Polysemy,(of a disease) having a rapid course and violent effect,deadly.s.06
divided,"('separate', 'disunite', 'divide', 'part')",Polysemy,"force, take, or pull apart",separate.v.02
sham,"('feign', 'sham', 'pretend', 'affect', 'dissemble')",Polysemy,make believe with the intent to deceive,feign.v.01
load,"('lode', 'load')",Polysemy,a deposit of valuable ore occurring within definite boundaries separating it from surrounding rocks,lode.n.01
wider,"('broad', 'spacious', 'wide')",Polysemy,very large in expanse or scope,broad.s.06
pick,"('pluck', 'plunk', 'pick')",Polysemy,pull lightly but sharply with a plucking motion,pluck.v.04
ban,"('banish', 'ban', 'ostracize', 'ostracise', 'shun', 'cast_out', 'blackball')",Polysemy,expel from a community or group,banish.v.01
plume,"('plume',)",Not a Polysemy,deck with a plume,plume.v.03
clearly,"('intelligibly', 'clearly', 'understandably')",Polysemy,in an intelligible manner,intelligibly.r.01
bench,"('bench',)",Not a Polysemy,the reserve players on a team,bench.n.06
e,"('E', 'e')",Polysemy,the 5th letter of the Roman alphabet,e.n.05
player,"('player', 'participant')",Polysemy,a person who participates in or is skilled at some game,player.n.01
tested,"('test',)",Not a Polysemy,undergo a test,test.v.07
day,"('day', 'twenty-four_hours', 'twenty-four_hour_period', '24-hour_interval', 'solar_day', 'mean_solar_day')",Polysemy,time for Earth to make a complete rotation on its axis,day.n.01
outside,"('external', 'international', 'outside')",Polysemy,from or between other countries,external.s.03
loaded,"('load',)",Not a Polysemy,transfer from a storage device to a computer's memory,load.v.03
develops,"('develop',)",Not a Polysemy,"grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment",develop.v.10
secured,"('batten', 'batten_down', 'secure')",Polysemy,furnish with battens,batten.v.01
northern,"('northern',)",Not a Polysemy,situated in or coming from regions of the north,northern.a.04
flight,"('flight',)",Not a Polysemy,fly in a flock,flight.v.02
shipping,"('ship',)",Not a Polysemy,place on board a ship,ship.v.05
keeping,"('keep', 'hold_on')",Polysemy,retain possession of,keep.v.03
suffer,"('suffer',)",Not a Polysemy,be given to,suffer.v.09
keeping,"('keep',)",Not a Polysemy,supply with room and board,keep.v.09
memory,"('memory', 'remembering')",Polysemy,the cognitive processes whereby past experience is remembered,memory.n.02
pitching,"('pitch',)",Not a Polysemy,fall or plunge forward,pitch.v.03
battle,"('struggle', 'battle')",Polysemy,an energetic attempt to achieve something,struggle.n.01
deliver,"('render', 'deliver', 'return')",Polysemy,pass down,render.v.05
pale,"('pale',)",Not a Polysemy,not full or rich,pale.s.05
mask,"('mask',)",Not a Polysemy,a covering to disguise or conceal the face,mask.n.01
generation,"('generation',)",Not a Polysemy,the production of heat or electricity,generation.n.06
marking,"('scar', 'mark', 'pock', 'pit')",Polysemy,mark with a scar,scar.v.01
leave,"('leave', 'leave_alone', 'leave_behind')",Polysemy,leave unchanged or undisturbed or refrain from taking,leave.v.04
read,"('read',)",Not a Polysemy,to hear and understand,read.v.10
reporting,"('report', 'describe', 'account')",Polysemy,to give an account or representation of in words,report.v.01
emerge,"('emerge',)",Not a Polysemy,"come out into view, as from concealment",emerge.v.01
set,"('set',)",Not a Polysemy,(mathematics) an abstract collection of numbers or symbols,set.n.02
ethiopian,"('Ethiopian',)",Not a Polysemy,of or relating to or characteristic of Ethiopia or its people or languages,ethiopian.a.01
treated,"('treat', 'care_for')",Polysemy,provide treatment for,treat.v.03
dealing,"('share', 'divvy_up', 'portion_out', 'apportion', 'deal')",Polysemy,give out as one's portion or share,share.v.04
lost,"('fall_back', 'lose', 'drop_off', 'fall_behind', 'recede')",Polysemy,retreat,fall_back.v.04
temporary,"('temp', 'temporary', 'temporary_worker')",Polysemy,a worker (especially in an office) hired on a temporary basis,temp.n.01
entry,"('entrance', 'entering', 'entry', 'ingress', 'incoming')",Polysemy,the act of entering,entrance.n.03
scam,"('victimize', 'swindle', 'rook', 'goldbrick', 'nobble', 'diddle', 'bunco', 'defraud', 'scam', 'mulct', 'gyp', 'gip', 'hornswoggle', 'short-change', 'con')",Polysemy,deprive of by deceit,victimize.v.03
treating,"('regale', 'treat')",Polysemy,provide with choice or abundant food or drink,regale.v.01
coming,"('come',)",Not a Polysemy,exist or occur in a certain point in a series,come.v.10
immemorial,"('immemorial',)",Not a Polysemy,long past; beyond the limits of memory or tradition or recorded history,immemorial.s.01
pass,"('pass',)",Not a Polysemy,transfer to another; of rights or property,pass.v.18
better,"('well',)",Not a Polysemy,to a suitable or appropriate extent or degree,well.r.05
bill,"('placard', 'bill')",Polysemy,publicize or announce by placards,placard.v.02
stunning,"('sandbag', 'stun')",Polysemy,hit something or somebody as if with a sandbag,sandbag.v.03
design,"('design',)",Not a Polysemy,intend or have as a purpose,design.v.07
narrow,"('narrow-minded', 'narrow')",Polysemy,lacking tolerance or flexibility or breadth of view,narrow-minded.a.02
corruption,"('corruption',)",Not a Polysemy,decay of matter (as by rot or oxidation),corruption.n.03
arms,"('arm',)",Not a Polysemy,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,arm.n.01
change,"('change', 'exchange', 'commute', 'convert')",Polysemy,"exchange or replace with another, usually of the same kind or category",change.v.06
perverted,"('distorted', 'misrepresented', 'perverted', 'twisted')",Polysemy,having an intended meaning altered or misrepresented,distorted.s.02
sorting,"('classify', 'class', 'sort', 'assort', 'sort_out', 'separate')",Polysemy,arrange or order by classes or categories,classify.v.01
blatant,"('blatant', 'clamant', 'clamorous', 'strident', 'vociferous')",Polysemy,conspicuously and offensively loud; given to vehement outcry,blatant.s.02
always,"('constantly', 'invariably', 'always')",Polysemy,"without variation or change, in every case",constantly.r.01
cent,"('penny', 'cent', 'centime')",Polysemy,a coin worth one-hundredth of the value of the basic unit,penny.n.02
trying,"('try', 'seek', 'attempt', 'essay', 'assay')",Polysemy,make an effort or attempt,try.v.01
subject,"('discipline', 'subject', 'subject_area', 'subject_field', 'field', 'field_of_study', 'study', 'bailiwick')",Polysemy,a branch of knowledge,discipline.n.01
press,"('press', 'public_press')",Polysemy,the print media responsible for gathering and publishing news in the form of newspapers or magazines,press.n.02
misleading,"('deceptive', 'misleading', 'shoddy')",Polysemy,designed to deceive or mislead either deliberately or inadvertently,deceptive.s.02
agreed,"('harmonize', 'harmonise', 'consort', 'accord', 'concord', 'fit_in', 'agree')",Polysemy,go together,harmonize.v.01
around,"('around',)",Not a Polysemy,to a particular destination either specified or understood,around.r.07
bias,"('bias', 'predetermine')",Polysemy,cause to be biased,bias.v.02
headquarters,"('headquarters', 'HQ', 'military_headquarters')",Polysemy,the military installation from which a commander performs the functions of command,headquarters.n.02
intensifying,"('escalate', 'intensify', 'step_up')",Polysemy,increase in extent or intensity,escalate.v.01
glow,"('gleam', 'gleaming', 'glow', 'lambency')",Polysemy,an appearance of reflected light,gleam.n.01
format,"('format', 'arrange')",Polysemy,set (printed matter) into a specific format,format.v.01
tear,"('bust', 'tear', 'binge', 'bout')",Polysemy,an occasion for excessive eating or drinking,bust.n.04
useing,"('use',)",Not a Polysemy,seek or achieve an end by using to one's advantage,use.v.04
lost,"('miss', 'lose')",Polysemy,fail to perceive or to catch with the senses or the mind,miss.v.01
retarded,"('retard',)",Not a Polysemy,be delayed,retard.v.02
classic,"('classic',)",Not a Polysemy,a creation of the highest excellence,classic.n.01
planning,"('plan', 'project', 'contrive', 'design')",Polysemy,make or work out a plan for; devise,plan.v.03
joint,"('joint',)",Not a Polysemy,affecting or involving two or more,joint.s.02
request,"('request', 'asking')",Polysemy,the verbal act of requesting,request.n.02
mad,"('harebrained', 'insane', 'mad')",Polysemy,very foolish,harebrained.s.01
run,"('run',)",Not a Polysemy,occur persistently,run.v.18
drag,"('drag',)",Not a Polysemy,something that slows or delays progress,drag.n.02
sackings,"('sacking', 'bagging')",Polysemy,coarse fabric used for bags or sacks,sacking.n.01
disgusting,"('disgusting', 'disgustful', 'distasteful', 'foul', 'loathly', 'loathsome', 'repellent', 'repellant', 'repelling', 'revolting', 'skanky', 'wicked', 'yucky')",Polysemy,highly offensive; arousing aversion or disgust,disgusting.s.01
checking,"('match', 'fit', 'correspond', 'check', 'jibe', 'gibe', 'tally', 'agree')",Polysemy,"be compatible, similar or consistent; coincide in their characteristics",match.v.01
department,"('department', 'section')",Polysemy,a specialized division of a large organization,department.n.01
ar,"('are', 'ar')",Polysemy,a unit of surface area equal to 100 square meters,are.n.01
aba,"('aba',)",Not a Polysemy,a fabric woven from goat hair and camel hair,aba.n.02
screaming,"('scream', 'screaming', 'shriek', 'shrieking', 'screech', 'screeching')",Polysemy,sharp piercing cry,scream.n.01
overshadowed,"('overshadow',)",Not a Polysemy,cast a shadow upon,overshadow.v.03
felt,"('feel',)",Not a Polysemy,grope or feel in search of something,feel.v.08
packed,"('pack',)",Not a Polysemy,"treat the body or any part of it by wrapping it, as with blankets or sheets, and applying compresses to it, or stuffing it to provide cover, containment, or therapy, or to absorb blood",pack.v.13
confusion,"('confusion', 'mental_confusion', 'confusedness', 'muddiness', 'disarray')",Polysemy,a mental state characterized by a lack of clear and orderly thought and behavior,confusion.n.02
nazis,"('Nazi', 'German_Nazi')",Polysemy,a German member of Adolf Hitler's political party,nazi.n.01
blocking,"('obstruct', 'obturate', 'impede', 'occlude', 'jam', 'block', 'close_up')",Polysemy,block passage through,obstruct.v.02
studying,"('learn', 'study', 'read', 'take')",Polysemy,be a student of a certain subject,learn.v.04
sad,"('sad',)",Not a Polysemy,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti,sad.a.01
incompatible,"('inappropriate', 'incompatible', 'out_or_keeping', 'unfitting')",Polysemy,not in keeping with what is correct or proper,inappropriate.s.02
intelligence,"('intelligence', 'intelligence_activity', 'intelligence_operation')",Polysemy,the operation of gathering information about an enemy,intelligence.n.05
brought,"('bring',)",Not a Polysemy,induce or persuade,bring.v.11
withdrawal,"('withdrawal', 'detachment')",Polysemy,avoiding emotional involvement,withdrawal.n.04
column,"('column',)",Not a Polysemy,a page or text that is vertically divided,column.n.08
guard,"('guard_duty', 'guard', 'sentry_duty', 'sentry_go')",Polysemy,the duty of serving as a sentry,guard_duty.n.01
canceled,"('cancel', 'call_off', 'scratch', 'scrub')",Polysemy,postpone indefinitely or annul something that was scheduled,cancel.v.01
trap,"('ambush', 'ambuscade', 'lying_in_wait', 'trap')",Polysemy,the act of concealing yourself and lying in wait to attack by surprise,ambush.n.01
count,"('count', 'bet', 'depend', 'look', 'calculate', 'reckon')",Polysemy,have faith or confidence in,count.v.08
break,"('break',)",Not a Polysemy,scatter or part,break.v.08
contractor,"('contractor',)",Not a Polysemy,(law) a party to a contract,contractor.n.03
taking,"('assume', 'take', 'strike', 'take_up')",Polysemy,occupy or take on,assume.v.05
well,"('well',)",Not a Polysemy,a cavity or vessel used to contain liquid,well.n.02
convention,"('conventionality', 'convention', 'conventionalism')",Polysemy,orthodoxy as a consequence of being conventional,conventionality.n.03
discovered,"('discover',)",Not a Polysemy,see for the first time; make a discovery,discover.v.07
gentle,"('easy', 'gentle', 'soft')",Polysemy,having little impact,easy.s.05
born,"('give_birth', 'deliver', 'bear', 'birth', 'have')",Polysemy,cause to be born,give_birth.v.01
material,"('material', 'stuff')",Polysemy,the tangible substance that goes into the makeup of a physical object,material.n.01
running,"('run',)",Not a Polysemy,"move about freely and without restraint, or act as if running around in an uncontrolled way",run.v.11
petting,"('pet',)",Not a Polysemy,stroke or caress gently,pet.v.01
touch,"('touch', 'sense_of_touch', 'skin_senses', 'touch_modality', 'cutaneous_senses')",Polysemy,the faculty by which external objects or forces are perceived through contact with the body (especially the hands),touch.n.02
assert,"('insist', 'assert')",Polysemy,assert to be true,insist.v.03
couple,"('couple',)",Not a Polysemy,a small indefinite number,couple.n.03
sick,"('nauseated', 'nauseous', 'queasy', 'sick', 'sickish')",Polysemy,feeling nausea; feeling about to vomit,nauseated.s.01
fire,"('fire',)",Not a Polysemy,once thought to be one of four elements composing the universe (Empedocles),fire.n.05
right,"('right',)",Not a Polysemy,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,right.n.01
cutting,"('clipping', 'newspaper_clipping', 'press_clipping', 'cutting', 'press_cutting')",Polysemy,an excerpt cut from a newspaper or magazine,clipping.n.01
badge,"('badge',)",Not a Polysemy,any feature that is regarded as a sign of status (a particular power or quality or rank),badge.n.02
broke,"('transgress', 'offend', 'infract', 'violate', 'go_against', 'breach', 'break')",Polysemy,"act in disregard of laws, rules, contracts, or promises",transgress.v.01
pack,"('pack',)",Not a Polysemy,set up a committee or legislative body with one's own supporters so as to influence the outcome,pack.v.05
election,"('election',)",Not a Polysemy,the status or fact of being elected,election.n.03
catch,"('catch',)",Not a Polysemy,take in and retain,catch.v.25
calling,"('call',)",Not a Polysemy,read aloud to check for omissions or absentees,call.v.08
cereal,"('cereal',)",Not a Polysemy,a breakfast food prepared from grain,cereal.n.03
man,"('man', 'adult_male')",Polysemy,an adult person who is male (as opposed to a woman),man.n.01
previously,"('previously', 'antecedently')",Polysemy,at an earlier time or formerly,previously.r.01
swarm,"('swarm', 'cloud')",Polysemy,a group of many things in the air or on the ground,swarm.n.02
lives,"('life', 'living')",Polysemy,the experience of being alive; the course of human events and activities,life.n.02
animation,"('vivification', 'invigoration', 'animation')",Polysemy,the activity of giving vitality and vigour to something,vivification.n.02
color,"('color', 'colorize', 'colorise', 'colourise', 'colourize', 'colour', 'color_in', 'colour_in')",Polysemy,add color to,color.v.01
command,"('command',)",Not a Polysemy,demand as one's due,command.v.03
occupation,"('occupation',)",Not a Polysemy,the period of time during which a place or position or nation is occupied,occupation.n.05
head,"('head',)",Not a Polysemy,the top of something,head.n.07
eyewitness,"('eyewitness',)",Not a Polysemy,a spectator who can describe what happened,eyewitness.n.01
figure,"('trope', 'figure_of_speech', 'figure', 'image')",Polysemy,language used in a figurative or nonliteral sense,trope.n.01
territorial,"('territorial',)",Not a Polysemy,nonprofessional soldier member of a territorial military unit,territorial.n.01
cream,"('cream',)",Not a Polysemy,"put on cream, as on one's face or body",cream.v.03
round,"('round',)",Not a Polysemy,the course along which communications spread,round.n.08
wall,"('wall',)",Not a Polysemy,a masonry fence (as around an estate or garden),wall.n.07
defenseless,"('naked', 'defenseless')",Polysemy,having no protecting or concealing cover; - Shakespeare,naked.s.02
birth,"('give_birth', 'deliver', 'bear', 'birth', 'have')",Polysemy,cause to be born,give_birth.v.01
tied,"('bind', 'tie', 'attach', 'bond')",Polysemy,create social or emotional ties,bind.v.02
cylinder,"('cylinder',)",Not a Polysemy,a solid bounded by a cylindrical surface and two parallel planes (the bases),cylinder.n.01
gave,"('move_over', 'give_way', 'give', 'ease_up', 'yield')",Polysemy,move in order to make room for someone for something,move_over.v.01
visit,"('visit', 'call_in', 'call')",Polysemy,pay a brief visit,visit.v.03
exhaust,"('exhaust', 'wash_up', 'beat', 'tucker', 'tucker_out')",Polysemy,wear out completely,exhaust.v.01
freshly,"('newly', 'freshly', 'fresh', 'new')",Polysemy,very recently,newly.r.01
prosecution,"('pursuance', 'prosecution')",Polysemy,the continuance of something begun with a view to its completion,pursuance.n.02
stopped,"('stop',)",Not a Polysemy,cause to stop,stop.v.05
growing,"('originate', 'arise', 'rise', 'develop', 'uprise', 'spring_up', 'grow')",Polysemy,come into existence; take on form or shape,originate.v.01
failing,"('fail',)",Not a Polysemy,fall short in what is expected,fail.v.08
crucial,"('crucial',)",Not a Polysemy,having crucial relevance,crucial.s.02
largest,"('large',)",Not a Polysemy,having broad power and range and scope,large.s.06
qualify,"('qualify', 'measure_up')",Polysemy,prove capable or fit; meet requirements,qualify.v.01
bird,"('bird', 'fowl')",Polysemy,the flesh of a bird or fowl (wild or domestic) used as food,bird.n.02
grew,"('grow',)",Not a Polysemy,"become larger, greater, or bigger; expand or gain",grow.v.02
frame,"('skeletal_system', 'skeleton', 'frame', 'systema_skeletale')",Polysemy,the hard structure (bones and cartilages) that provides a frame for the body of an animal,skeletal_system.n.01
tolerate,"('digest', 'endure', 'stick_out', 'stomach', 'bear', 'stand', 'tolerate', 'support', 'brook', 'abide', 'suffer', 'put_up')",Polysemy,put up with something or somebody unpleasant,digest.v.03
represented,"('defend', 'represent')",Polysemy,be the defense counsel for someone in a trial,defend.v.06
shadow,"('darkness', 'dark', 'shadow')",Polysemy,an unilluminated area,darkness.n.02
founder,"('founder',)",Not a Polysemy,a worker who makes metal castings,founder.n.03
birth,"('birth', 'nativity', 'nascency', 'nascence')",Polysemy,the event of being born,birth.n.02
committing,"('give', 'dedicate', 'consecrate', 'commit', 'devote')",Polysemy,"give entirely to a specific person, activity, or cause",give.v.18
tax,"('tax',)",Not a Polysemy,levy a tax on,tax.v.01
chain,"('chain',)",Not a Polysemy,anything that acts as a restraint,chain.n.05
vehicle,"('vehicle',)",Not a Polysemy,a medium for the expression or achievement of something,vehicle.n.02
run,"('rivulet', 'rill', 'run', 'runnel', 'streamlet')",Polysemy,a small stream,rivulet.n.01
organize,"('organize', 'organise')",Polysemy,cause to be structured or ordered or operating according to some principle or idea,organize.v.02
play,"('playing_period', 'period_of_play', 'play')",Polysemy,(in games or plays or other performances) the time during which play proceeds,playing_period.n.01
falling,"('fall',)",Not a Polysemy,to be given by assignment or distribution,fall.v.14
dresden,"('Dresden',)",Not a Polysemy,a city in southeastern Germany on the Elbe River; it was almost totally destroyed by British air raids in 1945,dresden.n.01
break,"('break',)",Not a Polysemy,change directions suddenly,break.v.34
project,"('project',)",Not a Polysemy,cause to be heard,project.v.05
letter,"('letter',)",Not a Polysemy,owner who lets another person use something (housing usually) for hire,letter.n.03
offering,"('propose', 'declare_oneself', 'offer', 'pop_the_question')",Polysemy,ask (someone) to marry you,propose.v.05
games,"('game',)",Not a Polysemy,animal hunted for food or sport,game.n.04
lives,"('animation', 'life', 'living', 'aliveness')",Polysemy,the condition of living or the state of being alive,animation.n.01
heading,"('head',)",Not a Polysemy,remove the head of,head.v.09
secure,"('secure',)",Not a Polysemy,free from danger or risk,secure.a.02
dimension,"('dimension',)",Not a Polysemy,shape or form to required dimensions,dimension.v.02
understand,"('sympathize', 'sympathise', 'empathize', 'empathise', 'understand')",Polysemy,be understanding of,sympathize.v.02
extends,"('stretch', 'extend')",Polysemy,"extend one's limbs or muscles, or the entire body",stretch.v.02
working,"('work',)",Not a Polysemy,exert oneself by doing mental or physical work for a purpose or out of necessity,work.v.01
advance,"('advance', 'cash_advance')",Polysemy,an amount paid before it is earned,advance.n.05
russians,"('Russian',)",Not a Polysemy,the Slavic language that is the official language of Russia,russian.n.02
gain,"('acquire', 'win', 'gain')",Polysemy,win something through one's efforts,acquire.v.05
head,"('capitulum', 'head')",Polysemy,a dense cluster of flowers or foliage,capitulum.n.01
justification,"('justification',)",Not a Polysemy,something (such as a fact or circumstance) that shows an action to be reasonable or necessary,justification.n.01
head,"('head',)",Not a Polysemy,an individual person,head.n.14
falling,"('fall', 'shine', 'strike')",Polysemy,touch or seem as if touching visually or audibly,fall.v.08
retired,"('retire',)",Not a Polysemy,"withdraw from circulation or from the market, as of bills, shares, and bonds",retire.v.04
plan,"('design', 'plan')",Polysemy,"make a design of; plan out in systematic, often graphic form",design.v.04
desertion,"('desertion', 'abandonment', 'defection')",Polysemy,withdrawing support or help despite allegiance or responsibility,desertion.n.01
lesson,"('lesson',)",Not a Polysemy,a task assigned for individual study,lesson.n.04
brought,"('bring', 'convey', 'take')",Polysemy,take something or somebody with oneself somewhere,bring.v.01
square,"('square', 'foursquare')",Polysemy,(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon,square.n.01
closed,"('close',)",Not a Polysemy,bar access to,close.v.14
invalid,"('invalid',)",Not a Polysemy,no longer valid,invalid.s.02
operative,"('operative',)",Not a Polysemy,being in force or having or exerting force,operative.a.01
representatives,"('representative',)",Not a Polysemy,a person who represents others,representative.n.01
cultivating,"('cultivate', 'crop', 'work')",Polysemy,prepare for crops,cultivate.v.02
raise,"('raise', 'leaven', 'prove')",Polysemy,cause to puff up with a leaven,raise.v.15
click,"('click', 'mouse_click')",Polysemy,depression of a button on a computer mouse,click.n.04
asleep,"('asleep', 'benumbed', 'numb')",Polysemy,lacking sensation,asleep.s.02
keeping,"('keep', 'preserve')",Polysemy,"maintain in safety from injury, harm, or danger",keep.v.15
drones,"('drone',)",Not a Polysemy,make a monotonous low dull sound,drone.v.01
strongest,"('solid', 'strong', 'substantial')",Polysemy,of good quality and condition; solidly built,solid.s.07
foot,"('foot',)",Not a Polysemy,a support resembling a pedal extremity,foot.n.11
gone,"('run_low', 'run_short', 'go')",Polysemy,to be spent or finished,run_low.v.01
dislike,"('dislike',)",Not a Polysemy,a feeling of aversion or antipathy,dislike.n.02
gates,"('gate',)",Not a Polysemy,total admission receipts at a sports event,gate.n.03
citing,"('mention', 'cite')",Polysemy,commend,mention.v.03
heavy,"('heavy',)",Not a Polysemy,of relatively large extent and density,heavy.s.12
dirtier,"('dirty', 'soiled', 'unclean')",Polysemy,soiled or likely to soil with dirt or grime,dirty.a.01
blanket,"('blanket',)",Not a Polysemy,a layer of lead surrounding the highly reactive core of a nuclear reactor,blanket.n.03
export,"('export',)",Not a Polysemy,cause to spread in another part of the world,export.v.03
clip,"('clip',)",Not a Polysemy,a sharp slanting blow,clip.n.06
early,"('early',)",Not a Polysemy,at or near the beginning of a period of time or course of events or before the usual or expected time,early.a.01
cut,"('edit', 'cut', 'edit_out')",Polysemy,cut and assemble the components of,edit.v.03
somewhere,"('somewhere', 'someplace')",Polysemy,in or at or to some place; ; (`someplace' is used informally for `somewhere'),somewhere.r.01
blatant,"('blatant', 'blazing', 'conspicuous')",Polysemy,without any attempt at concealment; completely obvious,blatant.s.01
ring,"('ring', 'peal')",Polysemy,sound loudly and sonorously,ring.v.01
palace,"('palace',)",Not a Polysemy,official residence of an exalted person (as a sovereign),palace.n.04
taken,"('take',)",Not a Polysemy,carry out,take.v.01
designer,"('designer', 'intriguer')",Polysemy,a person who devises plots or intrigues,designer.n.04
float,"('float',)",Not a Polysemy,an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade,float.n.04
voted,"('vote',)",Not a Polysemy,express one's preference for a candidate or for a measure or resolution; cast a vote,vote.v.01
drag,"('drag',)",Not a Polysemy,"pull, as against a resistance",drag.v.01
item,"('item',)",Not a Polysemy,(used when listing or enumerating items) also; -Philip Guedalla,item.r.01
lego,"('Lego', 'Lego_set')",Polysemy,(trademark) a child's plastic construction set for making mechanical models,lego.n.01
defeat,"('get_the_better_of', 'overcome', 'defeat')",Polysemy,win a victory over,get_the_better_of.v.01
progressive,"('progressive',)",Not a Polysemy,(of taxes) adjusted so that the rate increases as the amount of income increases,progressive.a.03
exposing,"('queer', 'expose', 'scupper', 'endanger', 'peril')",Polysemy,"put in a dangerous, disadvantageous, or difficult position",queer.v.02
suggestion,"('suggestion', 'prompting')",Polysemy,persuasion formulated as a suggestion,suggestion.n.04
dropped,"('flatten', 'drop')",Polysemy,lower the pitch of (musical notes),flatten.v.03
grounded,"('anchor', 'ground')",Polysemy,fix firmly and stably,anchor.v.01
royal,"('imperial', 'majestic', 'purple', 'regal', 'royal')",Polysemy,belonging to or befitting a supreme ruler,imperial.s.04
paper,"('newspaper', 'paper')",Polysemy,the physical object that is the product of a newspaper publisher,newspaper.n.03
sole,"('sole', 'resole')",Polysemy,put a new sole on,sole.v.01
milestone,"('milestone',)",Not a Polysemy,a significant event in your life (or in a project),milestone.n.02
pronunciation,"('pronunciation',)",Not a Polysemy,the manner in which someone utters a word,pronunciation.n.01
impact,"('impact',)",Not a Polysemy,the striking of one body against another,impact.n.01
burned,"('burn',)",Not a Polysemy,"feel strong emotion, especially anger or passion",burn.v.06
lift,"('rise', 'lift', 'rear')",Polysemy,rise up,rise.v.04
standing,"('standing',)",Not a Polysemy,(of persons) on the feet; having the torso in an erect position supported by straight legs,standing.a.05
wound,"('injure', 'wound')",Polysemy,cause injuries or bodily harm to,injure.v.01
reading,"('learn', 'study', 'read', 'take')",Polysemy,be a student of a certain subject,learn.v.04
depict,"('picture', 'depict', 'render', 'show')",Polysemy,"show in, or as in, a picture",picture.v.02
father,"('forefather', 'father', 'sire')",Polysemy,the founder of a family,forefather.n.01
given,"('given', 'granted')",Polysemy,acknowledged as a supposition,given.s.01
bleeds,"('shed_blood', 'bleed', 'hemorrhage')",Polysemy,lose blood from one's body,shed_blood.v.02
examine,"('test', 'prove', 'try', 'try_out', 'examine', 'essay')",Polysemy,"put to the test, as for its quality, or give experimental use to",test.v.01
moving,"('act', 'move')",Polysemy,"perform an action, or work out or perform (an action)",act.v.01
call,"('birdcall', 'call', 'birdsong', 'song')",Polysemy,the characteristic sound produced by a bird,birdcall.n.01
sort,"('sort', 'sorting')",Polysemy,an operation that segregates items into groups according to a specified criterion,sort.n.04
countries,"('state', 'nation', 'country', 'land', 'commonwealth', 'res_publica', 'body_politic')",Polysemy,a politically organized body of people under a single government,state.n.04
industry,"('diligence', 'industriousness', 'industry')",Polysemy,persevering determination to perform a task,diligence.n.02
grad,"('grad', 'grade')",Polysemy,one-hundredth of a right angle,grad.n.01
airport,"('airport', 'airdrome', 'aerodrome', 'drome')",Polysemy,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,airport.n.01
burns,"('bite', 'sting', 'burn')",Polysemy,cause a sharp or stinging pain or discomfort,bite.v.02
sing,"('sing',)",Not a Polysemy,produce tones with the voice,sing.v.02
deeper,"('deep', 'rich')",Polysemy,strong; intense,deep.s.07
send,"('send', 'send_out')",Polysemy,"to cause or order to be taken, directed, or transmitted to another place",send.v.02
surpassed,"('travel_by', 'pass_by', 'surpass', 'go_past', 'go_by', 'pass')",Polysemy,move past,travel_by.v.01
altitude,"('elevation', 'EL', 'altitude', 'ALT')",Polysemy,angular distance above the horizon (especially of a celestial object),elevation.n.03
fails,"('fail', 'run_out', 'give_out')",Polysemy,prove insufficient,fail.v.10
expects,"('expect',)",Not a Polysemy,look forward to the birth of a child,expect.v.05
clean,"('clean', 'clean-living')",Polysemy,morally pure,clean.s.10
study,"('study',)",Not a Polysemy,a composition intended to develop one aspect of the performer's technique,study.n.10
trusted,"('trust',)",Not a Polysemy,allow without fear,trust.v.02
massacred,"('massacre', 'slaughter', 'mow_down')",Polysemy,kill a large number of people indiscriminately,massacre.v.01
promote,"('promote',)",Not a Polysemy,be changed for a superior chess or checker piece,promote.v.04
kept,"('keep_open', 'hold_open', 'keep', 'save')",Polysemy,retain rights to,keep_open.v.01
shelter,"('tax_shelter', 'shelter')",Polysemy,a way of organizing business to reduce the taxes it must pay on current earnings,tax_shelter.n.01
know,"('know',)",Not a Polysemy,be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt,know.v.03
pulling,"('pull',)",Not a Polysemy,steer into a certain direction,pull.v.07
full,"('full', 'replete')",Polysemy,filled to satisfaction with food or drink,full.s.04
explodes,"('explode',)",Not a Polysemy,destroy by exploding,explode.v.05
reports,"('report',)",Not a Polysemy,announce as the result of an investigation or experience or finding,report.v.02
